market,pair,bar_type,n_bars,skew,exkurt,jb,jb_p,ac1,count_cv
equity,IWM,tick,7080,-0.0345644046418763,3.1495081398478906,2927.219685482992,0.0,-0.0004863276538231536,0.5669237415297533
equity,IWM,volume,7080,-0.034319655409422285,2.8649823923200683,2422.4442601940063,0.0,-0.004542779606462542,0.582188870850138
equity,IWM,dollar,7079,0.12445418777297464,5.2439700149978385,8128.250420054472,0.0,0.0013691286991178047,0.47990093958452756
equity,QQQ,time,7085,-0.33530145970494846,5.400629692805268,8741.806344420032,0.0,-0.0175118966572502,0.24967437121409414
equity,QQQ,tick,7080,-0.09130570126451794,3.0161029703042512,2693.0356692823066,0.0,-0.005037281990616384,0.9733003433306251
equity,QQQ,volume,7080,-0.08067508132528958,2.2392983375400997,1486.7348007967014,0.0,-0.016917741096114238,0.8082784305934873
equity,QQQ,dollar,7080,-0.12903816880308647,4.608790081945276,6284.839263004483,0.0,0.012272361631517834,0.9601927222164979
equity,SPY,time,7083,-0.34839399776558444,10.74844649067541,34233.979449343315,0.0,-0.01807116186844262,0.17093138444766792
equity,SPY,tick,7080,-0.30481908703162136,7.347582650692123,16033.530763151646,0.0,-0.02436493225773121,0.6426867076160898
equity,SPY,volume,7079,-0.10196894263511498,3.991752753617286,4711.494501857017,0.0,-0.01350397463056478,0.6939254117027299
equity,SPY,dollar,7079,-0.11648670890257971,5.9880270414543375,10590.67705442615,0.0,0.011996857281891371,0.4680875990613273
equity,UVXY,time,5340,12.427851566285058,225.8913803609269,11488798.714752268,0.0,0.002521788225598003,0.23236830128051186
equity,UVXY,tick,5345,12.347895646267181,224.07963254106022,11316268.212212354,0.0,-0.010012942628149614,0.7713386753826461
equity,UVXY,volume,5345,12.966861976927477,242.66808112799345,13262105.855051128,0.0,-0.028791421039704595,0.8776261240983478
equity,UVXY,dollar,5345,12.346127745212412,223.54662142025106,11263103.339660598,0.0,-0.0247371788485907,0.7718177029677095
equity,VXX,time,6316,15.762188721629768,358.54553566094614,34087498.40253696,0.0,0.014354300900791938,0.2079898660279338
equity,VXX,tick,6322,15.234003304984446,348.13820681590875,32165596.445505466,0.0,0.008811635839765472,0.7405217534845555
equity,VXX,volume,6322,15.635597749794776,359.50505021013436,34297158.356268495,0.0,0.013823866126634334,0.7583196461297977
equity,VXX,dollar,6321,15.32512012331111,349.9884630925367,32503591.86826358,0.0,-0.0004704642559131166,0.7882453854695143
equity,XLE,time,7088,-8.555206132665083,333.3508380030141,32900082.685860902,0.0,0.012128516657581396,0.24072622930143867
equity,XLE,tick,7080,-8.900186489452077,341.4061140715281,34473251.66989795,0.0,0.00602046451357719,0.5972668927311
equity,XLE,volume,7080,-8.786912240411832,342.59682201909186,34711116.02794339,0.0,0.005060449438004692,0.5607590001404875
