pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
BNBUSDT,55220.0,0.05,-3.0376643351156116,0.031523613606878,0.9988882527092205,-0.0006782966389847064,3237.0,,0.008697723954723279,1.5996007408255568
BNTUSDT,24563.0,0.1,-3.4345212952643585,0.009836849518550444,0.9864196901593855,0.016303845396545273,4076.0,,0.00926004810703676,0.4225170603920561
BOMEUSDC,18357.0,0.2,-4.000050457832592,0.001410247064075852,0.9606610018098211,0.005723049136599685,3382.0,,0.013906399872171616,1.609459963104328
BOMEUSDT,19312.0,0.2,-4.0299743058869915,0.0012614390350214272,0.962746172658198,0.0023445205551775867,3382.0,,0.014997851756875558,1.8364954071136137
BRETTUSDT,15541.0,0.15,-3.0910758512759444,0.027220703283179205,0.9716591606731296,0.011937096321446522,3901.0,,0.01505573724598058,1.4156241687740267
BROCCOLI714USDT,10434.0,0.05,-3.9017720258421127,0.0020218446065209607,0.9916860613202777,0.02262093696662597,3237.0,,0.0209870604750643,0.5667331906464607
BROCCOLIF3BUSDT,10435.0,0.15,-3.8748331267991496,0.002228069516013015,0.9536105263669652,0.014813923278573695,3901.0,,0.021228184328128143,0.6110344711589457
BRUSDT,10432.0,0.0,-3.2802395665819883,0.01578520614117797,1.0,0.02827917721875302,1.0,,0.022741411804344868,0.16680355703930816
BSVUSDT,22859.0,0.1,-3.033733307515692,0.031861979975735595,0.9916034223133147,0.012530503498364947,4076.0,,0.00991099736205824,0.8920489309660632
BTCDOMUSDT,43297.0,0.2,-3.294888907603859,0.015108492044785087,0.9907066825312882,0.004432816016917925,3382.0,,0.003613938541382108,2.2898696846013915
BTCUSDC,21040.0,0.1,-3.069379985737004,0.028903767841196238,0.9817402707629713,0.0033416059414981217,4076.0,,0.005149736575744263,0.7102750844577874
BTCUSDT,58931.0,0.15,-3.6644302847269072,0.004642221229414007,0.9870264645867275,0.0023654193599842574,3901.0,,0.00661139609338395,1.2450254026671188
BTRUSDT,6618.0,0.2,-3.0948697690612543,0.02693518544575696,0.941805861954431,0.020874883447001606,3382.0,,0.025462462685111365,0.7923076843195735
BULLAUSDT,7915.0,0.1,-3.4039710925776854,0.010824239962749714,0.9771443313325019,0.021255994995172743,4076.0,,0.032861757769717906,1.0141488366736884
BUSDT,8935.0,0.05,-3.401587884968889,0.010904859678018934,0.9908155816594612,0.021850821906384845,3237.0,,0.021884411405201077,0.08521065804111823
C98USDT,41761.0,0.15,-3.790412048573817,0.0030069498047477273,0.9874208793886833,0.00306266554543606,3901.0,,0.012725423607066893,1.9519282659718322
CAKEUSDT,22552.0,0.05,-4.0232121301570665,0.0012937259421286157,0.9951113946819032,0.02021836744196045,3237.0,,0.010629915362890553,0.1062812911381029
CARVUSDT,7092.0,0.1,-4.941471824519269,2.8939993897415258e-05,0.8198806326741743,0.0060183576085036045,4076.0,,0.010896560766986085,1.9455439642993821
CATIUSDT,14801.0,0.05,-3.0535889009091854,0.030183971428275506,0.9943937091550452,-0.004343628574421909,3237.0,,0.013612776790503238,1.7327915804075835
CCUSDT,5056.0,0.05,-4.603225241654703,0.00012741305474338948,0.9896560918041246,0.027609857476981615,3237.0,,0.01398736156313267,0.17938083153267118
CELOUSDT,40940.0,0.15,-4.304464555161741,0.00043637069344382466,0.9814571325495861,0.004138223687739689,3901.0,,0.011403257107149891,1.9454849907484444
CELRUSDT,45309.0,0.1,-3.190831422971219,0.020521564290242277,0.9927614198903423,0.007951588115800004,4076.0,,0.013433378496138867,1.2424322955105473
CETUSUSDT,13670.0,0.2,-3.968218166467499,0.0015863852689532807,0.9522125864777554,0.005729151854608136,3382.0,,0.014421935908839334,1.504019432886722
