market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,ETHFIUSDT,0.1,-2.952288745794898,0.0395966868980179,0.9850626959828868,0.0103773155028064
crypto,FHEUSDT,0.1,-3.273408422392233,0.0161097765649456,0.9805846937681708,0.0235430016248425
crypto,FORMUSDT,0.1,-3.862241706035829,0.0023309855127072,0.9736985799348924,0.0104211375085015
crypto,PUMPBTCUSDT,0.1,-3.0574355498469643,0.0298677472765315,0.9614384053205014,0.0306399745853227
crypto,PROVEUSDT,0.1,-4.433439411283236,0.0002588944331907,0.9207634505928436,0.0148436964210389
crypto,NMRUSDT,0.1,-3.962913371821197,0.0016176551762935,0.9839986628468894,0.0155307735134889
crypto,NEOUSDT,0.1,-3.2550548722191137,0.0170110189644211,0.992620924034789,0.0099050313663653
crypto,OGNUSDT,0.1,-3.388142809775539,0.0113697851150896,0.9939813986524808,0.004251090700872
crypto,ONTUSDT,0.1,-3.3004966559904383,0.0148562885468969,0.9939228734035838,0.0086159285170632
crypto,NEWTUSDT,0.1,-4.163902985259227,0.000757993463965,0.9289291035085856,0.0115101775372724
crypto,PARTIUSDT,0.1,-4.017445271919277,0.0013218676678374,0.9686289626971438,0.0134970100849468
crypto,PAXGUSDT,0.1,-3.1736398841969806,0.0215621135209271,0.9609635424197416,0.0026879073255691
crypto,JASMYUSDT,0.1,-3.1630451608556656,0.0222259209049051,0.988347126657625,0.0085262523456241
crypto,IOTXUSDT,0.1,-3.0286284043016884,0.0323059883548319,0.9909663308679432,0.0091769843767839
crypto,MTLUSDT,0.1,-4.0669363001787735,0.0010978474769727,0.9920408323235506,0.0085454785771296
crypto,ACHUSDT,0.1,-3.561661119913056,0.006537731750449,0.9892742229580967,0.0140674700771438
crypto,1000XECUSDT,0.1,-3.371065507662205,0.011985693393708,0.991629180887372,0.004036819445771
crypto,LISTAUSDT,0.1,-3.444189796194548,0.0095415798950077,0.9867081101899312,0.0144140466428007
crypto,LINKUSDC,0.1,-3.4889872511601427,0.0082744704339847,0.9844247234246876,0.0168489129458364
crypto,LDOUSDT,0.1,-2.943276826398709,0.0405419933798855,0.991931435371179,0.0137132825390873
crypto,KOMAUSDT,0.1,-3.0318674568327166,0.0320236611166184,0.9881801480170342,0.0038204495317761
crypto,KNCUSDT,0.1,-3.402670349866738,0.0108681757105982,0.9934504728870326,0.0105901815770884
crypto,KERNELUSDT,0.1,-3.5596332313459285,0.0065813374731221,0.9672456412657876,0.0099622073547009
crypto,MAVIAUSDT,0.1,-3.321472560612189,0.0139455127423887,0.97893653588866,0.0044919390300754
