d,corr,passed
0.9,0.07791755788785998,1
0.95,0.048097306297664906,1
1.0,0.0010535636031718397,1
0.0,1.0,0
0.05,0.9958946929606717,1
0.1,0.9835811810000036,1
0.15,0.9607775627326358,1
0.2,0.924971666113732,1
0.25,0.8780592516688981,1
0.3,0.8059352358489433,1
0.35,0.6885886503220062,1
0.4,0.5639445336637012,1
0.45,0.3755026503850969,1
0.5,0.3908939466744389,1
0.55,0.3479820218304885,1
0.6,0.29399728270317343,1
0.65,0.23905798750848628,1
0.7,0.19085170059755466,1
0.75,0.1475430722156189,1
0.8,0.1117204701568096,1
0.85,0.0856872852439332,1
0.9,0.06360942968066739,1
0.95,0.04491469621483318,1
1.0,0.020203819609498307,1
0.0,1.0,0
0.05,0.9985471884188868,0
0.1,0.9922254863983406,1
0.15,0.9807701833265025,1
0.2,0.9644264851765225,1
0.25,0.9431414703442377,1
0.3,0.9160151342605187,1
0.35,0.8803540187903801,1
0.4,0.8353462616317401,1
0.45,0.7745378208134035,1
0.5,0.7019150282119884,1
0.55,0.616637119296082,1
0.6,0.5227050249198885,1
0.65,0.4299467583436289,1
0.7,0.3443251743408945,1
0.75,0.2682841738280326,1
0.8,0.20360064293002197,1
0.85,0.14970602249616516,1
0.9,0.10461653074925172,1
0.95,0.06524879284845518,1
1.0,0.007845857143223188,1
0.0,0.9999999999999998,0
0.05,0.9993534583668039,0
0.1,0.9962942435915952,0
0.15,0.9903167478350666,1
0.2,0.9816440944077376,1
0.25,0.9682153353535379,1
0.3,0.9485108968680996,1
0.35,0.9220043348332105,1
0.4,0.8805998764963401,1
0.45,0.8321470212630603,1
0.5,0.7692191700364152,1
0.55,0.6855362255228137,1
0.6,0.5952644547040647,1
0.65,0.49919748756197857,1
0.7,0.4059896020026617,1
0.75,0.32035921030510284,1
0.8,0.24557580687358216,1
0.85,0.1808702928834362,1
0.9,0.12570945239693598,1
0.95,0.07703344009969229,1
1.0,0.004623196674582302,1
0.0,1.0,0
0.05,0.9869604417384182,0
