pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len
SANTOSUSDT,13886.0,0.15,-4.051268821636159,0.001164609082617622,0.9646261404799823,0.009041639218958975,3901.0
SANDUSDT,46821.0,0.15,-3.776371030810343,0.0031585363187467234,0.9803552215613994,0.008107104806151557,3901.0
SAPIENUSDT,6779.0,0.15,-3.7300382717687355,0.003709938714699063,0.9158443761263376,0.031162196500147687,3901.0
CROSSUSDT,7765.0,0.15,-3.58093214185856,0.006136203822566609,0.9339033434957712,0.020390194047556067,3901.0
RPLUSDT,15064.0,0.15,-3.6189625109140082,0.005408683548399484,0.9639753776574036,0.009816830776416926,3901.0
ROSEUSDT,38665.0,0.15,-4.34748043553411,0.0003672289801329809,0.9787846007936156,0.005673892854066666,3901.0
CKBUSDT,28480.0,0.15,-3.453318097490452,0.00927011242562467,0.9746571929968099,0.01144949090691601,3901.0
CLOUSDT,5465.0,0.15,-3.3609002942530988,0.012366222916215001,0.9648625861930856,0.020222807108183707,3901.0
CELOUSDT,40940.0,0.15,-4.304464555161741,0.00043637069344382466,0.9814571325495861,0.004138223687739689,3901.0
DODOXUSDT,24616.0,0.15,-3.109265473180479,0.025875057336638644,0.987666450957928,0.009832319436119336,3901.0
DIAUSDT,14512.0,0.15,-3.4176690644813554,0.01037108092523942,0.9694603759880849,0.014111998381204348,3901.0
SHELLUSDT,11195.0,0.15,-3.1638766512002623,0.02217319157597282,0.9725794686394433,0.003579085099613837,3901.0
